,맥주정보,검색이름,맥주이름
0,"Piw(2,095)
🇩🇪Rüsselsheim, Germany
1.6July 14, 2021
330ml Flasche. Klar und golden mit minimaler Schaumkrone. Leicht getreidig, ansonsten sehr wässrig. Sehr leichter Körper. Quasi geschmacklos.
BOTTLE
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
1
Overall
7",Cass Fresh,Cass Fresh
1,"Sigmund(11,445)
🇳🇴Tau, Norway
1.6June 26, 2021
330 ml bottle, from Green Peas, Stavanger. ABV is 4.5%. Clear pale golden colour, moderate white head. Sweetish aroma of pilsener malts, starch, grass and candy. Fizzy…
Show more
BOTTLE
Aroma
3
Appearance
3
Flavor
3
Mouthfeel
2
Overall
5",Cass Fresh,Cass Fresh
2,"heno(745)
🇩🇰Denmark
2.0June 25, 2021
Bottle. Clear gold. White head.
Relatively mild lager, not much flavor.…
Show more
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Cass Fresh,Cass Fresh
3,"hamilton_w(356)
1.7April 8, 2021
Unnoticeable aroma, mouthfeel was weaker than expected. A below-average lager.
CAN
Aroma
2
Appearance
2
Flavor
4
Mouthfeel
1
Overall
8",Cass Fresh,Cass Fresh
4,"bobblackcoffee(88)
2.2December 3, 2020
Sweet and light and crisp. Like a Busan autumn morning. Easy drinking but sucrosey. Perhaps the PBR of Korea.
CAN
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
9",Cass Fresh,Cass Fresh
5,"PubRespek15(395)
🇳🇴Moelv, Norway
1.4November 3, 2020
This is not a beer I can highly recommend. Sweet, watery, and tasteless. Reminds me of a cheap American beer. On the other hand this beer could be a total life saver on a hot…
Show more
BOTTLE
Aroma
4
Appearance
1
Flavor
3
Mouthfeel
1
Overall
5
1",Cass Fresh,Cass Fresh
6,"allmyvinyl(15,088)
🇬🇧Edinburgh, Scotland
2.4November 1, 2020
Bottle from the Chinese Mini-Market on Gorgie Road, Edinburgh. Pours clear golden with no head. Aromas are metallic and sugary. Taste is more of the same. Watery…
Show more
Aroma
5
Appearance
2
Flavor
5
Mouthfeel
2
Overall
10",Cass Fresh,Cass Fresh
7,"wilde_joost59(1,258)
🇳🇱Amsterdam, Netherlands
3.0June 19, 2020
Thuis uit een flesje. Nu allemaal niet zo mopperen hierop. Een fris pils met een laag percentage. Lekker voor de dorst op een warme dag. Ok, niet heel veel smaak en nasmaak.…
Show more
Aroma
6
Appearance
2
Flavor
6
Mouthfeel
2
Overall
14",Cass Fresh,Cass Fresh
8,"camay1997(288)
🇺🇸patton, United States
1.8March 24, 2020
Purchased a six pack from my local 99 cents store. Short lived white head atop a clear, pale yellow body. It has a metallic smell, common with cheaply mass produced beer.…
Show more
CAN
Aroma
4
Appearance
2
Flavor
3
Mouthfeel
1
Overall
8",Cass Fresh,Cass Fresh
9,"ElDesmadre(6,745)
🇵🇱Jaworze, Poland
1.4March 22, 2020
Can. Sweetish, corn, lots of green apples, almost no bitterness, not crisp. Weak as expected.
Aroma
3
Appearance
3
Flavor
2
Mouthfeel
1
Overall
5",Cass Fresh,Cass Fresh
