,맥주정보,검색이름,맥주이름
0,"HighSparkDiesel(634)
🇹🇼Taipei City, Taiwan
2.4June 24, 2021
A large can from Jason's near NCCU. Aroma: grapefruit, floral notes. Appearance: opaque dark amber, generous bubbly head with a pinkish tinge. Palate: medium-bodied and oily,…
Show more
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
8",Kabrew Kumiho India Pale Ale,Kabrew Kumiho India Pale Ale
1,"GoufCustom(3,017)
🇭🇰Hong Kong
3.3April 13, 2021
500ml can bought at K-Mart Korean Food in Sham Shui Po. 

Looks: Translucent orange honey with trace of misty yeast…
Show more
CAN
@ K-Mart Korean Food 韓國食品
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
3
Overall
13",Kabrew Kumiho India Pale Ale,Kabrew Kumiho India Pale Ale
