,맥주정보,검색이름,맥주이름
0,"Jerseyislandbeer(3,349)
🇯🇪Jersey
3.5September 19, 2021
355ml bottle from Stirchley Wines, vintage 2017, pours amber with a white foamy head. Aromas & tastes of orange peel, grapes, banana, apricot, spices & yeast. Moderate…
Show more
BOTTLE
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
3
Overall
15",Goose Island Sofie,Goose Island Sofie
1,"Marduk(15,019)
🇪🇪Reval, Estonia
3.8September 14, 2021
355ml bottle (thanks Juks). Vintage 2016. Hazy orange color. Smooth, yeasty, brett, bit papery, apricots in aroma/taste.
Aroma
8
Appearance
3
Flavor
8
Mouthfeel
4
Overall
15",Goose Island Sofie,Goose Island Sofie
2,"MaltyVonHop(690)
3.9July 31, 2021
Goose Island Sofie 6.5%. Hazy pale golden, banana and citrus aroma, medium bodied, wheat malt, banana, citrus, orange peel, sour yeast, spices. Lovely Saison from Chicag…
Show more
BOTTLE
Aroma
8
Appearance
5
Flavor
8
Mouthfeel
5
Overall
13",Goose Island Sofie,Goose Island Sofie
3,"After.dawn(43)
🇰🇷Suwon, South Korea
3.7July 21, 2021
한국 구스아일랜드 브루하우스에서 400ml 16,000원에 제공됩니다.…
Show more
TAP
Aroma
6
Appearance
3
Flavor
8
Mouthfeel
2
Overall
18",Goose Island Sofie,Goose Island Sofie
4,"dj(741)
🇬🇧England
3.1May 4, 2021
Bottle, 355ml. A hazy golden colour with no head. A rich blackberry and bread aroma with bitter pip notes. Flavour is slightly sour with bitter pip notes, grapefruit, a slight herbal…
Show more
BOTTLE
@ Tesco Supermarket (Various locations)
Aroma
5
Appearance
3
Flavor
6
Mouthfeel
2
Overall
15",Goose Island Sofie,Goose Island Sofie
5,"imdownthepub(21,597)
🇬🇧Banbury, England
3.5April 19, 2021
Bottled, 355ml from Tesco in Banbury, Oxon. Hazed gold with white (though short) head. There is a pleasant, fruity, yeasty character to this on first sip, some astringency, some ester…
Show more
BOTTLE
@ Tesco Supermarket (Various locations)
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
4
Overall
14",Goose Island Sofie,Goose Island Sofie
6,"zacgillbanks(7,775)
🇬🇧England
4.2February 28, 2021
330ml Bottle from Tesco, Hexham.

Sofie 2017 drank in 2021. Drank in Celebration of Omloop…
Show more
BOTTLE
@ Tesco Supermarket (Various locations)
Aroma
8
Appearance
5
Flavor
8
Mouthfeel
5
Overall
16",Goose Island Sofie,Goose Island Sofie
7,"reidyboy(533)
🇬🇧Shrewsbury, England
4.0November 28, 2020
Very slightly hazy pale gold with a lovely bubbly white head, and a soft fruity aroma with a dusty, yeasty kind of vibe. The mouthfeel is zesty and spritzy, like a sparkling wine, and…
Show more
BOTTLE
@ Tesco Supermarket (Various locations)
Aroma
8
Appearance
4
Flavor
8
Mouthfeel
4
Overall
16",Goose Island Sofie,Goose Island Sofie
8,"flying_pig(2,570)
🇮🇪Ireland
3.9October 19, 2020
2017 vintage from Tesco (£3):
Clear golden with a stream of fine bubbles rising to a thin, quarter centimetre head that's white & foamy, covering the…
Show more
BOTTLE
@ Tesco Supermarket (Various locations)
Aroma
7
Appearance
4
Flavor
8
Mouthfeel
4
Overall
16",Goose Island Sofie,Goose Island Sofie
9,"ozzy70(2,911)
🇺🇸Omaha, United States
3.4October 6, 2020
Bottle at Larry’s Beerfest. Poured light hazy golden with a white head. Aroma of citrus, orange, white wine, yeast, fruity, pepper spice. Taste was sweet, tart, sour, citrus, orange,…
Show more
BOTTLE
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
3
Overall
14",Goose Island Sofie,Goose Island Sofie
10,"BeardedAvenger(4,776)
🇬🇧New Haw, England
3.7September 20, 2020
Bottle from Tesco, Brooklands. Vinous aroma (of course), with spicy yeast and citrus. Opaque light gold. Initially impressive frothy white head soon shrinks away. Light…
Show more
BOTTLE
@ Tesco Supermarket (Various locations)
Aroma
6
Appearance
3
Flavor
8
Mouthfeel
3
Overall
17",Goose Island Sofie,Goose Island Sofie
11,"MarcinG(3,191)
🇬🇧England
3.3September 17, 2020
Butelka. Lekko metnawe o złotym kolorze. Piana biała, niska, opadła szybko. Ciekawe piwo... Sporo skórki pomarańczowej od samego początku, drożdżowe akcenty, białe owoce, lekk…
Show more
BOTTLE
Aroma
6
Appearance
3
Flavor
7
Mouthfeel
4
Overall
13",Goose Island Sofie,Goose Island Sofie
12,"Hanoi(1,455)
🇬🇧England
3.5September 15, 2020
Bottled July 17 - from Tesco - extraordinary that bottles with this age are in supermarkets.  Nose is brett, dough, chocolate limes, almond, vanilla, lime. Taste is dry, lime, dough, vanilla…
Show more
Aroma
8
Appearance
3
Flavor
7
Mouthfeel
3
Overall
14",Goose Island Sofie,Goose Island Sofie
13,"SilkTork(7,042)
🇬🇧Southampton, United Kingdom, England
3.5September 12, 2020
Sept 2020. 355ml brown bottle, unfiltered, from Tesco. Nice. I like this. There's a delicate play between the doughy malt and the warm yeast. Quite delicate. A faint tartness. Pleasant…
Show more
BOTTLE
@ Tesco Supermarket (Various locations)
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
4
Overall
15",Goose Island Sofie,Goose Island Sofie
14,"weirdbeered(270)
🇬🇧London, England
3.7September 6, 2020
Cloudy amber with a small white head, aroma of hay, also slightly lemony. Taste, floral, wheaty, banana, with coriander and honey. Well carbonated. Brisk and refreshing.…
Show more
BOTTLE
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Goose Island Sofie,Goose Island Sofie
15,"jamesie1857(2,423)
🇬🇧Sheffield, England
3.2August 29, 2020
355ml bottle from Tesco - Cloudy yellow body, no head. Nose has orange peel, a bit of yeast, coriander. Bit watery for the ABV, fairly bland.
BOTTLE
Aroma
7
Appearance
3
Flavor
6
Mouthfeel
3
Overall
13",Goose Island Sofie,Goose Island Sofie
16,"dantomlinson(1,455)
🇬🇧Blackburn, England
3.8August 23, 2020
Hazy golden appearance. Aroma is grassy and sweet. Flavour is tart, grassy, hops, floral and citrus.
BOTTLE
Aroma
8
Appearance
3
Flavor
8
Mouthfeel
3
Overall
16",Goose Island Sofie,Goose Island Sofie
17,"planky84(6,355)
🇬🇧Lee, England
3.7August 23, 2020
Bottle from Tescos, Lewisham. Gold pour with a white head. 
Roast parsnips, banana, green apple, light funky aroma (HEYY!!). Taste is cinnamon, apple crumble, banana toffee.…
Show more
BOTTLE
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
4
Overall
15",Goose Island Sofie,Goose Island Sofie
18,"tommann(6,112)
🇬🇧Stourbridge, England
3.5August 10, 2020
330ml bottle.  Pours hazy orange gold with a medium head. Aroma is tart sherbet lemon with a little pepper.  Taste has sour lemon to start with pepper on the finish.  Touch of…
Show more
BOTTLE
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
3
Overall
14",Goose Island Sofie,Goose Island Sofie
19,"johndoughty(7,086)
🇬🇧cheslyn hay, England
3.7August 9, 2020
Yellow with no head and devoid of any life. Nice fruity flavour which is very typical of a saison Some bitterness and a bitter finish. Pleasant but I struggled to find any reason for it…
Show more
BOTTLE
Aroma
6
Appearance
4
Flavor
7
Mouthfeel
4
Overall
16",Goose Island Sofie,Goose Island Sofie
20,"mR_fr0g(23,096)
🇬🇧England
3.8July 27, 2020
Bottle at home picked up from Tesco . 2017 bottle. A light hazed dirty straw coloured pour with a fine off white head. aroma is straw, beligan yeast, brett, tart vinous notes,  bitter…
Show more
CAN
Aroma
7
Appearance
4
Flavor
8
Mouthfeel
4
Overall
15",Goose Island Sofie,Goose Island Sofie
