,맥주정보,검색이름,맥주이름
0,"stevoj(11,682)
🇺🇸Boise, United States
2.9August 21, 2021
12oz can from Korean market. Pale golden, small foamy white head. Aroma is grainy, faint vegetal notes and corn. Taste was sweet, corn, grains. Cooked vegetables notes…
Show more
CAN
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
11",Hite Extra Cold,Hite Extra Cold
1,"ozzy70(2,911)
🇺🇸Omaha, United States
3.1August 16, 2021
Can purchased at Smooth Endings, St. Joseph, Missouri. Poured clear golden with a foamy white head. Aroma of sweet malt, sweet grain, corn. Taste was sweet, sweet…
Show more
CAN
@ Smooth Endings
Aroma
5
Appearance
3
Flavor
7
Mouthfeel
3
Overall
13",Hite Extra Cold,Hite Extra Cold
2,"After.dawn(46)
🇰🇷Suwon, South Korea
0.5May 27, 2021
How did you step up to this point?
This is the horse pee beer you are talking about.
It seems that Korean conglomerates are good at everything,…
Show more
CAN
Aroma
1
Appearance
1
Flavor
1
Mouthfeel
1
Overall
1",Hite Extra Cold,Hite Extra Cold
3,"kata.u(98)
🇯🇵Nagoya, Japan
1.7December 28, 2020
Light and clear golden color. Very weak aroma and flavor. Crips and refreshing, but too light body. Typical beer for drinking party.
TAP
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
7",Hite Extra Cold,Hite Extra Cold
4,"Cybercat(10,085)
🇺🇸Atlanta, United States
2.2August 30, 2020
Aroma offers crisp malt and a hint of hops, no more. It pours pale yellow with a fair head. Flavor presents crisp malt with hints of apple and hops. Texture gives OK body and so-so…
Show more
CAN
Aroma
5
Appearance
2
Flavor
5
Mouthfeel
2
Overall
8",Hite Extra Cold,Hite Extra Cold
5,"Nisse666(12,414)
🇸🇪Göteborg, Sweden
2.9July 26, 2020
Bottle from Gagnam, Korean restaurant 2020-07-25 Kalmar 
AR: dry bread, wee yellow grass
AP: clear golden, fizzy wee white head…
Show more
BOTTLE
Aroma
5
Appearance
3
Flavor
6
Mouthfeel
3
Overall
12",Hite Extra Cold,Hite Extra Cold
6,"RobertDale(9,855)
🇺🇸Lansing, United States
2.1June 24, 2020
12 ounce bottle.  Pours a pale gold with a decent white head.  Aroma of malt, grain, and tin.  Taste is similar.  Hot day beer at best.
BOTTLE
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
8",Hite Extra Cold,Hite Extra Cold
7,"tnkw01(2,849)
🇺🇸Knoxville, United States
2.6June 12, 2020
Bottle. Pale gold in color with a two finger head. Aroma is grains and watery. Taste, though well balanced, is weak. Just average.
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
10",Hite Extra Cold,Hite Extra Cold
8,"Oakes(26,129)
🇨🇦Kelowna, Canada
0.8February 27, 2020
Appley, thin, not the worst but pretty bad. Like, how filthy of a ticker do you have to be to drink this?
Aroma
2
Appearance
1
Flavor
2
Mouthfeel
1
Overall
2",Hite Extra Cold,Hite Extra Cold
9,"bhensonb(19,952)
🇺🇸Woodland, United States
2.8December 10, 2019
Bottle from Total Wine in San Jose, CA. (Stevens Creek) Pours clear, bright gold with a large white head. Bready aroma; minimal hop. Med minus body. Flavor is bready with…
Show more
BOTTLE
Aroma
3
Appearance
4
Flavor
4
Mouthfeel
3
Overall
14",Hite Extra Cold,Hite Extra Cold
10,"labeerinthum(5,511)
🇮🇹Milano, Italy
2.4October 9, 2019
Bottiglia. Il gusto al naso viene attratto dall'orzo. L'intensità olfattiva è normale e la maniera in cui permane è sufficiente. Il manto birroso superiore è caratterizzato da una schiuma…
Show more
Aroma
6
Appearance
3
Flavor
5
Mouthfeel
2
Overall
8",Hite Extra Cold,Hite Extra Cold
11,"Cubbybear(3)
🇸🇬Singapore
2.2August 29, 2019
Drank straight from the bottle, did not observe the head or colour. Light and pedestrian in taste and flavour. Refreshing and thirst-quenching, drinkable though unexciting. Bitter…
Show more
BOTTLE
Aroma
1
Appearance
2
Flavor
5
Mouthfeel
3
Overall
11",Hite Extra Cold,Hite Extra Cold
12,"jonas(12,251)
🇩🇪Garching b. München, Germany
2.4July 25, 2019
Bottle. Pale golden, off-white head, a bit fizzy light body. Hayish malt, ok balance, anonymous.
BOTTLE
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
2
Overall
9",Hite Extra Cold,Hite Extra Cold
13,"hehe_papiesz_xd(267)
🇵🇱Warsaw, Poland
1.6July 17, 2019
Aromat pierda (nieironicznie). W smaku lepiej, bardzo wodniście, ale nie ma tragedii. Posmak ok
Aroma
1
Appearance
2
Flavor
4
Mouthfeel
3
Overall
6",Hite Extra Cold,Hite Extra Cold
14,"mansquito(12,514)
🇺🇸Nueva York, United States
2.3May 20, 2019
Bottle at Chinese Graffiti: pours light gold with small white head. Aroma is light grain. Taste is sweet with a sort of bready taste. No bitterness. Tolerable.
BOTTLE
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
3
Overall
8",Hite Extra Cold,Hite Extra Cold
15,"PilsnerTapper22(1)
4.0April 24, 2019
I just purchased and the price was very good. I am drinking with dinner and we enjoyed its smoothness and flavor with our meal
CAN
Aroma
7
Appearance
4
Flavor
9
Mouthfeel
4
Overall
16",Hite Extra Cold,Hite Extra Cold
16,"JStax(10,651)
🇺🇸Devola/Marietta, United States
3.6April 1, 2019
11.5 ounce bottle poured into a brandy snifter. The beer is a clear yellow with a white head of foam. Sweet and floral. A little bit of peppercorn and spice as well. Lighter body and…
Show more
BOTTLE
Aroma
6
Appearance
5
Flavor
7
Mouthfeel
4
Overall
14",Hite Extra Cold,Hite Extra Cold
17,"tfontana(3,547)
🇺🇸Fremont, United States
2.0March 11, 2019
Bottle pour into nonic pint glass from Total Wine & More, Burlington. Appearance is clear, pale, bright golden yellow with lively sparkle, 2-finger width fizzy white head with poor…
Show more
BOTTLE
Aroma
4
Appearance
3
Flavor
3
Mouthfeel
2
Overall
8",Hite Extra Cold,Hite Extra Cold
18,"kiwianer(4,070)
🇳🇿Otorohanga, New Zealand
1.9March 2, 2019
Comes in a can in Penang, Malaysia. The Aroma is malty, watery. The taste is malty, watery. very boring.
Aroma
3
Appearance
2
Flavor
4
Mouthfeel
2
Overall
8",Hite Extra Cold,Hite Extra Cold
19,"mjg74(3,627)
🇺🇸Lubbock, United States
2.6February 22, 2019
Canned from 99 cent store. Sweet and grainy up front. Some corn flavor. Somewhat refreshing. Not horrible for a really cheap pale lager. Could be slammed on a hot summer day.
Aroma
5
Appearance
4
Flavor
5
Mouthfeel
4
Overall
8",Hite Extra Cold,Hite Extra Cold
20,"deanso(14,101)
🇬🇧Doncaster, England
2.1November 30, 2018
33cl Can from Tops Market. 
Thin white head.  Clear pale golden pour.  Thin watery taste.  Light bitterness.  Not great.  The beers I drink for Ratebeer ;-)
CAN
Aroma
4
Appearance
3
Flavor
3
Mouthfeel
2
Overall
9",Hite Extra Cold,Hite Extra Cold
21,"huineman(1,162)
🇪🇸Madrid, Spain
1.7November 28, 2018
500 ml bottle. It pours clear pale golden, bubbly, with a foamy white head. Aroma is close to non-existent: some stale bread, some iron filings, some grass. Taste is watery, fizzy,…
Show more
BOTTLE
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
3
Overall
4",Hite Extra Cold,Hite Extra Cold
22,"GregMooreNH(5,928)
🇺🇸Bedford, United States
1.4November 25, 2018
Pours clear, light golden with a full, off white head. Aroma is mostly skunk, some corn. Taste is corn syrup, moving to...well nothing. A beer, by definition, but that's it.
Aroma
2
Appearance
2
Flavor
3
Mouthfeel
2
Overall
5",Hite Extra Cold,Hite Extra Cold
23,"rhoihessegold(6,642)
🇩🇪Mainz, Rhineland-Palatinate, Germany
1.5October 23, 2018
21-10-18 // can shared. Thanks Dennis! Clear golden. White head. Water and grains. Typical Pale lager.
Aroma
3
Appearance
3
Flavor
3
Mouthfeel
3
Overall
3",Hite Extra Cold,Hite Extra Cold
24,"drfabulous(13,936)
🇺🇸Lexington, United States
2.7July 8, 2018
12 ounce bottle bought in Guangzhou. Pours slightly dark orange with some caramel. Ok when really cold.
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
11",Hite Extra Cold,Hite Extra Cold
25,"Pyobon(2,226)
🇦🇺Sydney, Australia
2.2June 30, 2018
(Bottle) Pours clear yellow with no head. Lemony grainy aroma. Light bodied and fizzy. Watery grainy lemony taste. Bad but drinkable cold.…
Show more
Aroma
5
Appearance
2
Flavor
4
Mouthfeel
2
Overall
9",Hite Extra Cold,Hite Extra Cold
26,"TBone(24,096)
🇫🇮Pori, Finland
1.6June 24, 2018
Can 355ml (from Gyeongju). Pale clear yellow colour, small white head. Sweetish maize aroma. Light-bodied. Watery. Fizzy. Sweetcorn, low bitterness. Korean Corona.
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
6",Hite Extra Cold,Hite Extra Cold
27,"TimE(8,459)
🇯🇵Tokyo, Japan
1.8May 12, 2018
Mainstream lager that is slightly sweet, lacks body and completely uninteresting.
Aroma
4
Appearance
1
Flavor
4
Mouthfeel
1
Overall
8",Hite Extra Cold,Hite Extra Cold
28,"futre7(350)
🇹🇼Taipei, Taiwan
1.9April 15, 2018
Hite lager is bland but also very drinkable. It seems to be the Korean style to make a beer as unoffensive as possible. With Hite EC they have done so. It is akin to soda water but in…
Show more
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
3
Overall
4",Hite Extra Cold,Hite Extra Cold
29,"Braudog(8,064)
🇺🇸Yorktown, United States
1.6March 12, 2018
Can, aboard a Korean Airlines flight. About everything you'd expect ... golden, clear, bubbly. Super cereal-based character, like liquid Cheerios. Still made the flight go OK. (#6971,…
Show more
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
3
Overall
5",Hite Extra Cold,Hite Extra Cold
30,"HighSparkDiesel(634)
🇹🇼Taipei City, Taiwan
1.3March 11, 2018
A bottle with dinner at the Korean restaurant at Shi Da night market tonight. Indistinguishable from the regular Hite. It seemed only natural to get one of these, rather than a Jin…
Show more
Aroma
2
Appearance
3
Flavor
1
Mouthfeel
1
Overall
6",Hite Extra Cold,Hite Extra Cold
31,"Eructoblaster(6,794)
🇨🇦Gatineau, Canada
1.7November 25, 2017
Can - 355ml. Boring blond/golden, heavily carbonated body with an instantly fading white bubbly head. Thin malty/hoppy aroma with herbal hints. Its bland malty/hoppy taste carries…
Show more
Aroma
3
Appearance
1
Flavor
4
Mouthfeel
2
Overall
7",Hite Extra Cold,Hite Extra Cold
