,맥주정보,검색이름,맥주이름
0,"Nurmis(1,951)
🇫🇮Oulu, Finland
3.0July 12, 2021
Can, as Kozel Premium Lager 4.6%. Enjoyed straight from the can. Some malt, bitterness and slightly bitter hoppy finish. Decent.
CAN
Aroma
7
Appearance
3
Flavor
6
Mouthfeel
3
Overall
11",Kozel Premium Lager 12°,Kozel Premium Lager 12°
1,"pleispleis(1,074)
🇮🇹Maccagno, Italy
3.0June 12, 2021
bottiglia 50 cl, 4,6% VOL, schiuma bianca fine media persistenza, colore giallo/oro limpido, al naso cereali leggero agrumi e frutta matura, in bocca pane cerali leggero agrumi…
Show more
BOTTLE
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
3
Overall
11",Kozel Premium Lager 12°,Kozel Premium Lager 12°
2,"BitterTamer20(435)
3.5June 9, 2021
Bevuta in bottiglia.  Tipica birra bionda comunque buona.  Leggera e buon gusto d'orzo.
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
3
Overall
14",Kozel Premium Lager 12°,Kozel Premium Lager 12°
3,"labeerinthum(5,511)
🇮🇹Milano, Italy
2.9May 31, 2021
[as Kozel Premium Lager (4.6%)] Bottiglia. Il gusto al naso viene attratto dall'orzo. La finezza olfattiva è normale e il modo in cui permane è sufficiente. Il manto birroso superio…
Show more
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
11",Kozel Premium Lager 12°,Kozel Premium Lager 12°
4,"ziobarba2000(101)
🇮🇹Roma, Italy
1.9May 24, 2021
Bottiglia da 0,50. Schiuma scarsa e volatile. Colore oro. Carbonatura leggermente eccessiva. Aromi di cereali e caramello. Gusto lieve alquanto acidulo. Finale breve. Lager…
Show more
BOTTLE
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
6",Kozel Premium Lager 12°,Kozel Premium Lager 12°
5,"Morboso(199)
🇦🇺Queensland, Australia
3.3April 26, 2021
For the price in Australia this is really decent. A little egg in that malt lager aroma but the flavour is quite nice, has some sweet over ripe banana, a syrupy body with some decent…
Show more
BOTTLE
Aroma
6
Appearance
3
Flavor
7
Mouthfeel
3
Overall
14",Kozel Premium Lager 12°,Kozel Premium Lager 12°
6,"eddie(167)
🇮🇹Italy
2.8April 12, 2021
Lager ceca dal colore giallo dorato, con una schiuma bianca ma poco persistente. Il profumo è bello maltato così come il gusto, amarognolo ma ben bilanciato con i luppoli che…
Show more
BOTTLE
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
3
Overall
13",Kozel Premium Lager 12°,Kozel Premium Lager 12°
7,"matstr(58)
🇨🇦Toronto, Canada
3.5April 10, 2021
Pours with a medium head from a 500 mL can.
The version I drank came from the Czech brewery at 4.6% alcohol.…
Show more
CAN
@ LCBO #297 - Acton
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
4
Overall
14",Kozel Premium Lager 12°,Kozel Premium Lager 12°
8,"Botrytis(180)
🇦🇹Illmitz, Austria
2.2April 9, 2021
Die Optik gibt sich vielversprechend. Klar und satt goldgelb mit leichtem Einschlag von Bernstein. Die weiße, mittel- bis feinporige Schaumkrone zeigt sich stabil und gut haltbar.…
Show more
CAN
Aroma
3
Appearance
5
Flavor
4
Mouthfeel
2
Overall
8",Kozel Premium Lager 12°,Kozel Premium Lager 12°
9,"DraftPupil66(326)
1.2March 28, 2021
33cl bottle from italian store, mine for the review is 4.6% abv and made in Italy by Birra Peroni, which i didn't realize at first. Would like to try the other version and know if they are…
Show more
BOTTLE
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
2",Kozel Premium Lager 12°,Kozel Premium Lager 12°
10,"josanguapo(4,573)
🇪🇸Spain
4.0February 14, 2021
De Combino. En copa hefe de Bavaria. En almuerzo, con tortilla de patatas de Km1, pollo guisado y bombones Nestlé caja roja. Muy refrescante y con buen cuerpo, de las que te…
Show more
BOTTLE
Aroma
8
Appearance
4
Flavor
8
Mouthfeel
4
Overall
16",Kozel Premium Lager 12°,Kozel Premium Lager 12°
11,"frankcolub(145)
🇦🇺Ashbury, Australia
2.6February 6, 2021
500ml bottle. white medium head  aroma malt, grain, grass?Medium sweetness and light to medium bitterness. decent beer
BOTTLE
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Kozel Premium Lager 12°,Kozel Premium Lager 12°
12,"martjoobolut(9,757)
🇪🇪Tallinn, Estonia
3.2February 3, 2021
Huvitav, et see on mul hindamata. Muidu olen proovinud nii pudelist kui vaadist. Värskena pole viga, aga üldiselt Urquell on ikka way parem igas olekus.
TAP
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
3
Overall
13",Kozel Premium Lager 12°,Kozel Premium Lager 12°
13,"BarleyTeam16(143)
4.1February 1, 2021
Eine helle Farbe mit leichter Trübung. Geruch nach süßen Malz. Erfrischender Antrunk. Aromen von Malz und Brot sind deutlich spürbar. Ein sehr steigendes Bier.
BOTTLE
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Kozel Premium Lager 12°,Kozel Premium Lager 12°
14,"czgr(1,445)
🇵🇱Opole, Poland
2.6January 28, 2021
Pite jakiś czas temu. Ocena w celu uzupełnienia profilu. 
https://www.instagram.com/czgr_
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Kozel Premium Lager 12°,Kozel Premium Lager 12°
15,"piu(305)
🇩🇪Mainz, Germany
3.7January 17, 2021
Farbe: goldgelb
Schaum: verfliegt super schnell
Geruch: malzig, etwas muffig…
Show more
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Kozel Premium Lager 12°,Kozel Premium Lager 12°
