,맥주정보,검색이름,맥주이름
0,"jordbeerg(61)
3.6September 21, 2021
Follow the trip on instagram @juurperi #olutmaailmanympärimatka
#beerworldtour…
Show more
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Tsingtao,Tsingtao
1,"n0ir(44)
🇩🇪Berlin, Germany
3.0August 10, 2021
Got a bottle first time in Dublin 2011. Pretty decent lager. Crispy and bit malty. Positive surprise.
BOTTLE
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Tsingtao,Tsingtao
2,"mrf33n3y(145)
🇺🇸United States
1.7July 25, 2021
Old Untappd checkin, January 23, 2016. Green glass bottle. Clear appearance. Heavy skunky aroma and flavor.
BOTTLE
Aroma
2
Appearance
3
Flavor
3
Mouthfeel
2
Overall
7",Tsingtao,Tsingtao
3,"Hanoi(1,456)
🇬🇧England
2.1July 3, 2021
Taste is corn, light caramel, faint floral hop. Nose is corn and chemical. Soft palate. Tastes better than it smells
Aroma
1
Appearance
3
Flavor
4
Mouthfeel
3
Overall
10",Tsingtao,Tsingtao
4,"qt01(497)
🇷🇴Cluj-Napoca, Romania
0.5June 4, 2021
Horrible artificial taste, very sweet. This beer is as good as their govt. Makes you feel bad for the chineze proletarians.
CAN
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Tsingtao,Tsingtao
5,"dunklermessias(1,659)
🇩🇪Germany
2.0May 28, 2021
Looks very picturesque (for a short time). Clear golden color and a white head. Simple grainy Lager.
Aroma
5
Appearance
3
Flavor
4
Mouthfeel
2
Overall
6",Tsingtao,Tsingtao
6,"BarleyTeam16(143)
2.6May 9, 2021
Eine goldene Farbe. Die Schaumkrone löst sich sehr schnell auf. Interessanter malziger Geruch. Spritzig am Anfang. Das verflacht mit der Zeit und wird zu einem sehr süffig malzige…
Show more
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Tsingtao,Tsingtao
7,"czgr(1,445)
🇵🇱Opole, Poland
1.5April 28, 2021
Ocena wystawiona na podstawie wspomnień w celu uzupełnienia profilu na RateBeer. Degustacja odbyła się jakiś czas temu.…
Show more
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Tsingtao,Tsingtao
8,"xyq(20)
2.8March 23, 2021
Very light malt and hops, very low bitterness, very refreshing, mild, thirst-quenching, with a hint of malt grain sweetness.
BOTTLE
Aroma
5
Appearance
3
Flavor
6
Mouthfeel
3
Overall
11",Tsingtao,Tsingtao
9,"Jerseyislandbeer(3,349)
🇯🇪Jersey
2.1March 3, 2021
Old rating from 2010 - 330ml bottle, pours clear amber with a small white head. Aromas & tastes of grain, flora, corn & malt. Light body. Light finish.
BOTTLE
Aroma
4
Appearance
1
Flavor
3
Mouthfeel
2
Overall
11",Tsingtao,Tsingtao
10,"Teran(452)
🇷🇸Belgrade, Serbia
2.0February 28, 2021
Not the worst Asian lager. Some artificial taste, remind me on Chinese cheep stores all over te world.
Aroma
3
Appearance
2
Flavor
4
Mouthfeel
2
Overall
9",Tsingtao,Tsingtao
11,"gschrade(1,396)
🇺🇸Collinsville, United States
2.1February 25, 2021
I had this at Shoguns. Pours gold with a white head. Taste light, sweet, weak. I thought this was ok. I could drink this again.…
Show more
Aroma
4
Appearance
5
Flavor
4
Mouthfeel
3
Overall
5",Tsingtao,Tsingtao
12,"Nali(54)
2.2February 13, 2021
640 ml - 4,7%vol. Per accompagnare una cena cinese va bene! Leggera, leggermente aromatica. Chiara lager beverina.
BOTTLE
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Tsingtao,Tsingtao
13,"Wolff90(167)
🇸🇪Upplands Väsby, Sweden
0.8February 16, 2021
Rating copied from Untappd. Had at an AIK practise at Shenzhen Universiade Center in Shenzhen in 2014.
CAN
Aroma
1
Appearance
1
Flavor
1
Mouthfeel
1
Overall
4",Tsingtao,Tsingtao
14,"thellgren(1,947)
🇫🇮Helsinki, Finland
2.6February 1, 2021
0.64 l bottle (ABV 4,7%) from K-Citymarket Ruoholahti. Golden, clear, small head. Not as sweet as I was afraid of - the ending has almost some hoppiness. Anyway, this is…
Show more
BOTTLE
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
10",Tsingtao,Tsingtao
15,"maekchu(5,208)
🇯🇵Japan
2.7January 6, 2021
Bottle from local Yamaya store. Skunky nose (could be Saaz hops.... but I doubt it) but not too much, along with something like honey. Medium pale gold color, thin stream…
Show more
BOTTLE
Aroma
5
Appearance
3
Flavor
6
Mouthfeel
3
Overall
10",Tsingtao,Tsingtao
16,"linus(448)
3.0January 17, 2021
Light. Creamy. Smooth. Very mild sweetness. Low bitterness. Refreshing on a hot night!
TAP
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Tsingtao,Tsingtao
17,"FlightHopper47(7)
🇲🇽Ciudad de México, Mexico
1.8October 24, 2020
Dorada, con muy poca retencióny es un poco dulce.
Tiene un aftertaste un tanto extraño, no es unpleasan pero si medio agridulce.
BOTTLE
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
6",Tsingtao,Tsingtao
18,"weirdbeered(270)
🇬🇧London, England
2.4October 19, 2020
Pale gold, with a dense white head on pouring that quickly diminishes. Aroma, grains, grass, straw, faint malt. Crisp, clean taste, with floral notes, and a following hint of lemon.…
Show more
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
2
Overall
10",Tsingtao,Tsingtao
19,"dragnet101(1,913)
🇬🇧Birmingham, England
2.3September 10, 2020
Bottle. Gold with very fizzy head, no retention. A malt and grain aroma. Taste is moderately sweet malts and grain but a bit watery. There is light bitterness in the finish. Light body…
Show more
BOTTLE
@ Morrisons Supermarket (Various locations)
Aroma
5
Appearance
2
Flavor
4
Mouthfeel
3
Overall
9",Tsingtao,Tsingtao
20,"Maris(2,714)
🇦🇺Canberra, Australia
1.9June 1, 2020
From a 330ml bottle on 1/6/2020 (abv listed as 4.5%). Pours and ultra clear golden with a small head that disappears immediately. Virtually no aroma, juts a hint of grass and…
Show more
BOTTLE
Aroma
3
Appearance
3
Flavor
4
Mouthfeel
2
Overall
7",Tsingtao,Tsingtao
21,"mikesq10(43)
Niagara
2.0May 31, 2020
Not a bad Asian lager. A little bit hoppy, taste is bitter. Nice to have on occasion. Not my number 1 choice but it was worth trying. I’m not begging for my money back lol.
BOTTLE
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-
1",Tsingtao,Tsingtao
22,"zage(560)
🇱🇹Kaunas, Lithuania
2.4May 10, 2020
Clear golden color with minimal white head. Malty, hay aromas. Little bitterness. Light body.
Aroma
5
Appearance
3
Flavor
4
Mouthfeel
2
Overall
10",Tsingtao,Tsingtao
23,"Taboada(4,233)
🇪🇸Compostela (Galiza), Spain
1.4May 9, 2020
330mml. bottle. @""home"", 07/05/2020
[#3.378 Global - #5 China - #1 TsingTao Brewery (My Chinese Brewery #3)]…
Show more
BOTTLE
Aroma
3
Appearance
1
Flavor
3
Mouthfeel
1
Overall
6
1",Tsingtao,Tsingtao
24,"Bloke(34)
🇨🇳Wei Hai, China
1.5May 1, 2020
Light, not very bitter,  minimal aroma but on a hot summer's day an icy tsingtao goes alright. better than most Chinese lagers
Aroma
3
Appearance
1
Flavor
4
Mouthfeel
1
Overall
6",Tsingtao,Tsingtao
25,"opaikampai(22)
2.1April 24, 2020
Has a very metallic taste that somehow seems familiar with many Asian lagers.  Nothing special but taste good with Chinese food.
BOTTLE
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Tsingtao,Tsingtao
26,"pityu(911)
🇭🇺Budapest, Hungary
1.3April 7, 2020
Bottle - Clear golden colour, small white head, poor retention. Grainy aromas with some yeasty note. Taste is weak malty with some corny and metallic aftetrtaste. Thin body, high…
Show more
Aroma
3
Appearance
1
Flavor
3
Mouthfeel
1
Overall
5",Tsingtao,Tsingtao
27,"JStax(10,651)
🇺🇸Devola/Marietta, United States
3.2April 6, 2020
12 ounce bottle poured into a brandy snifter. The beer is a clear gold with a fizzy head of white foam. Skunky and earthy grass aroma. Sweet perfumy taste. Kind of dry finish.…
Show more
BOTTLE
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
4
Overall
12",Tsingtao,Tsingtao
28,"CiderTicks22(1,733)
🇵🇱Glogów, Poland
1.3March 17, 2020
Złoty klar. Piana mocarna. Drobne oczka. Ubita jak śmietana. Extra lacing. 
Przeskunks i gotowane warzywa w aromacie. Landrynki?…
Show more
BOTTLE
Aroma
2
Appearance
5
Flavor
2
Mouthfeel
1
Overall
3",Tsingtao,Tsingtao
29,"jdelafuente01(179)
🇺🇸United States
2.5March 14, 2020
Straw golden yellow very thin head disappear lots of carbonation disappears quickly smell of grains grassy taste of malts grains grassy goes down easy nothing special
BOTTLE
Aroma
2
Appearance
3
Flavor
5
Mouthfeel
3
Overall
12",Tsingtao,Tsingtao
30,"ResinousMaestro55(413)
🇬🇧Hampton, England
3.1January 5, 2021
Available in every chinese restaurant in London. Light, bright and bubbly. Crisp and clean taste, can have a slight metallic finish, but generally OK.
BOTTLE
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
13",Tsingtao,Tsingtao
31,"Pimot(1,361)
🇪🇸Castelló de la Plana, Spain
1.7February 11, 2020
Color amarillo pálido transparente con espuma media blanca de poca retención y sin residuo. Aroma ligero a cereal blanco y minerales. Sabor también ligero a cereal y lúpulos nobles…
Show more
BOTTLE
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
7",Tsingtao,Tsingtao
32,"v_douby(29)
4.0February 5, 2020
Никогда не поставлю низкую оценку хорошему китайскому светлому пастеризованному пиву. Тем более это Tsingtao достаточно популярно и дороже любого…
Show more
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Tsingtao,Tsingtao
33,"Radubrew(228)
🇷🇴Romania
1.2January 27, 2020
Appearance: golden, clear, lots of carbonation, no foam.
Aroma: malt, corn, grains, citrus, hint of rice.
Flavor: a bit sweet, malt, hard to define something.…
Show more
BOTTLE
Aroma
3
Appearance
1
Flavor
2
Mouthfeel
1
Overall
5",Tsingtao,Tsingtao
34,"vladeath(2,463)
🇷🇺Russia
2.2January 28, 2020
Golden straw color with a thin film of foam.
Nose. Malt, hint of hops.
Taste. The body is light, carbonation is soft. The taste is…
Show more
BOTTLE
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
10",Tsingtao,Tsingtao
35,"Kiezmar(2,546)
🇵🇱Krakow, Poland
2.0January 22, 2020
Tragedia. Woda o smaku geranium i marihuany. Estry na kosmicznym poziomie. Praktycznie niepijalne. Zero goryczki.
BOTTLE
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
8",Tsingtao,Tsingtao
36,"kietlak(0)
🇵🇱Warszawa, Poland
1.3January 19, 2020
Dało się wypić, bez żadnej przyjemności, ale nic więcej. 青岛啤酒 spróbowałem i nie planuję tego powtarzać
BOTTLE
Aroma
2
Appearance
2
Flavor
2
Mouthfeel
2
Overall
5",Tsingtao,Tsingtao
37,"wilnatp(840)
🇺🇸United States
0.8January 18, 2020
Tap in Shenzhen at Four Seasons. Had to try it for the tick not the taste. Skunky   aroma of yeast and grain. Flavor was neither pleasing nor refreshing but about what I would…
Show more
TAP
Aroma
1
Appearance
2
Flavor
1
Mouthfeel
1
Overall
3",Tsingtao,Tsingtao
38,"kolemkoukolem(2,401)
🇨🇿Pilsen, Czech Republic
1.6January 18, 2020
# 946 et # 947; 2/2018 (bottle and can). Lehčí, docela osvěžující mezinárodní ležák. Výrazný citrusový tóny.
BOTTLE
Aroma
2
Appearance
1
Flavor
3
Mouthfeel
2
Overall
8",Tsingtao,Tsingtao
39,"borowik(1,131)
🇵🇱Bytom, Poland
2.1January 16, 2020
Okropieństwo. Skunks, woda, brak jakichkolwiek wrażeń, może odrobina kwiatów i zboża, to tyle.
BOTTLE
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
9",Tsingtao,Tsingtao
40,"BreweryTickers18(128)
🇵🇱Poland
2.5January 15, 2020
Mało orientalne, chociaż nie było się czego spodziewać. Który to już raz piwo z drugiego końca świata kopiuje nasze europejskie gatunki. Pachnie chmielem a w smaku same…
Show more
Aroma
4
Appearance
3
Flavor
6
Mouthfeel
4
Overall
8",Tsingtao,Tsingtao
