,맥주정보,검색이름,맥주이름
0,"solidfunk(15,568)
🇺🇸Washington D.C., United States
3.9April 7, 2021
Somehow haven't rated this before now. Dry roast, creamy head and dry finish. Hint of old leather and some light bitter but. Black pour with great head and lacing.
Aroma
8
Appearance
5
Flavor
8
Mouthfeel
4
Overall
14",Guinness Extra Stout (North America),Guinness Extra Stout (North America)
1,"giffey6(22)
4.0January 14, 2021
Took me a while to come around to this one, but the stout flavoring quickly grew on me. Has a bold feeling, goes great with a plate of wings. Almost has a burnt taste to it, but…
Show more
BOTTLE
Aroma
8
Appearance
4
Flavor
8
Mouthfeel
4
Overall
16",Guinness Extra Stout (North America),Guinness Extra Stout (North America)
2,"PivoPavel(11)
🇺🇸Columbia, MO, United States
3.0October 26, 2020
Hits your tongue with massive prune, coffee, and leather flavors. A bit drying afterwards. Medium carbonation. Good roastiness. Not as smooth as regular Guinness, but more…
Show more
BOTTLE
@ Schnuck’s
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Guinness Extra Stout (North America),Guinness Extra Stout (North America)
3,"esmith357(23)
🇺🇸Alexandria, United States
4.2July 13, 2020
Wonderful coffee like smell, bittersweet taste, rich dark color, and wonderful palate.
BOTTLE
Aroma
8
Appearance
4
Flavor
9
Mouthfeel
3
Overall
18",Guinness Extra Stout (North America),Guinness Extra Stout (North America)
4,"MeadChecker30(88)
🇭🇷Vinkovci, Croatia
2.7April 1, 2020
Watery mouthfeel.
Roasted coffee taste.…
Show more
BOTTLE
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
11",Guinness Extra Stout (North America),Guinness Extra Stout (North America)
5,"Beese(12,237)
🇬🇧Tooting, London, England
2.5March 18, 2020
Keg at Hoohah Cafe, New Orleans, LA on 28/06/2008.  The description of adding Guinness wort into a pale ale mash doesn’t sound too tasty, but a height of industrialised…
Show more
TAP
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Guinness Extra Stout (North America),Guinness Extra Stout (North America)
6,"Rod_beer(188)
🇲🇽DF, Mexico
3.0March 11, 2020
Deep brown colour with medium beige head. Aroma of roasted malt and caramel. Taste is mild sweet, with some smokey hints of wood, coffee and bacon. Light to medium…
Show more
BOTTLE
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
12",Guinness Extra Stout (North America),Guinness Extra Stout (North America)
7,"jfsebastian(14)
4.7July 26, 2019
The Guinness I regularly stock for drinking and recipes. Makes great brownies too. Only Guinness I like better is Foreign Extra stout.
BOTTLE
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Guinness Extra Stout (North America),Guinness Extra Stout (North America)
8,"thellgren(1,947)
🇫🇮Helsinki, Finland
3.4July 13, 2019
Bottle in Manhattan, New York. Oh, this has the roasted barley taste unlike the Extra Stout in the British Isles or Europe. Not that different from the draught Guinness,…
Show more
BOTTLE
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
3
Overall
14",Guinness Extra Stout (North America),Guinness Extra Stout (North America)
9,"BarrelDoctor36(0)
3.8July 10, 2019
My First Love (beer love), I realized I was not the common drinker, my first step towards styles and variety, enjoying more my senses rather than the “non-senses” of getting…
Show more
BOTTLE
Aroma
5
Appearance
5
Flavor
8
Mouthfeel
4
Overall
16",Guinness Extra Stout (North America),Guinness Extra Stout (North America)
