,맥주정보,검색이름,맥주이름
0,"Ferris(23,110)
🇨🇦Burnaby, Canada
2.3September 1, 2019
Sweet corn.  Clear gold with a decent white head.  Corn and sweetness.  A horrible local lager.
CAN
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
3
Overall
9",FiLite,FiLite
1,"MashTrub30(0)
2.2March 15, 2019
If your looking for a cheap beer substitute, this is the one for you. 500 ml cans are sold at 1300 KRW, 355 ml cans at 1000 KRW, and 1.5 plastic liter bottle at 3000 KRW. CU has a buy…
Show more
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
4
Overall
8",FiLite,FiLite
2,"Pyobon(2,226)
🇦🇺Sydney, Australia
2.0July 8, 2018
(Can) Pours cleat pale amber with no head. Sort of metallic aroma. Light bodied and fizzy. Taste is somewhat malty, a bit sweet, some tartness, watery. Not sure really what this is - a…
Show more
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
8",FiLite,FiLite
3,"TBone(24,096)
🇫🇮Pori, Finland
1.4June 20, 2018
Can 355ml (Seoul). Clear golden colour, small white head 
Aroma has rubber, pear and honey. Light-bodied. Flavour…
Show more
Aroma
2
Appearance
3
Flavor
2
Mouthfeel
2
Overall
5",FiLite,FiLite
4,"fredthecat(536)
🇨🇦Canada
2.5April 13, 2018
zero malt taste, but feels like a korean beer. light gold with no head. taste is unique, one dimensionally hoppy, but relatively quite hoppy. feels extremely stable and doesnt change its…
Show more
Aroma
4
Appearance
1
Flavor
5
Mouthfeel
2
Overall
13
1",FiLite,FiLite
5,"GoufCustom(3,017)
🇭🇰Hong Kong
3.4April 10, 2018
355 ml can bought at Smart in Tai Kok Tsui.…
Show more
Aroma
6
Appearance
3
Flavor
8
Mouthfeel
4
Overall
13",FiLite,FiLite
6,"SJnoodles(8)
2.1October 28, 2017
Clear and light color with plenty of carbonation. Little alcohol taste, and little grain taste, and no hops taste. Less flavor than a cheap pilsner, so it is like seltzer watered down…
Show more
Aroma
2
Appearance
2
Flavor
4
Mouthfeel
3
Overall
10",FiLite,FiLite
7,"Sledutah(9,890)
🇺🇸United States
2.4October 1, 2017
500ml can picked up at 7-11 in Seoul…
Show more
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
11",FiLite,FiLite
8,"lebermilz(521)
🇩🇪Germany
3.2September 22, 2017
Golden, thin white head.
Lightly flowery hops note.…
Show more
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
3
Overall
13",FiLite,FiLite
