,맥주정보,검색이름,맥주이름
0,"alex_leit(12,539)
🇧🇾Minsk, Belarus
3.2September 13, 2021
Can 50 cl. Chestnut-brown color, creamy foam. Aroma: caramel, sweet, candy, dried fruits, chocolate, a bit spicy. Taste: caramel, spicy (anise), dark dried fruits, biscuit,…
Show more
CAN
Aroma
7
Appearance
4
Flavor
6
Mouthfeel
4
Overall
11",Leffe Brune,Leffe Brune / Bruin / Brown
1,"DraftPupil66(326)
3.3September 4, 2021
0,33l bottle from a Lidl store, drinking it on 4/09/2021 BB 08/04/22 Pours a deep slightly hazy brown with reddish reflexes and a nice large frothy beige head. Good lacing.…
Show more
BOTTLE
Aroma
5
Appearance
3
Flavor
7
Mouthfeel
2
Overall
16",Leffe Brune,Leffe Brune / Bruin / Brown
2,"Samtzu(1,554)
🇳🇿Palmerston North, New Zealand
4.0August 14, 2021
Tap pour. Pours a dark brown with strong foamy white head. Strong yeast esters with banana, clove, and hints of toffee. Light to medium body with soft darker malt notes at the…
Show more
TAP
Aroma
8
Appearance
4
Flavor
8
Mouthfeel
4
Overall
16",Leffe Brune,Leffe Brune / Bruin / Brown
3,"felixguo97(20)
🇺🇸United States
3.8August 12, 2021
Green coffee aroma, dark brown almost cola hue. Mild taste at first, with warm aftertaste of coffee, a little cola flavor, and mild toasted nuts.
BOTTLE
Aroma
8
Appearance
4
Flavor
6
Mouthfeel
4
Overall
16",Leffe Brune,Leffe Brune / Bruin / Brown
4,"Itzjerm(3,893)
🇺🇸Taft, United States
3.4August 7, 2021
First beer ever in Belgium.  Highly carbonated.  Lasting head. Brown candy like flavors. Belgian yeast is obvious. Nose has some clove.
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
4
Overall
15",Leffe Brune,Leffe Brune / Bruin / Brown
5,"caketm(3,765)
🇵🇱Czestochowa, Poland
3.7July 3, 2021
Butelka 0,33 litra, otrzymana jako prezent. Wypita 2.07.2021 do meczu Belgia - Włochy. Dobry belg.
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
4
Overall
15",Leffe Brune,Leffe Brune / Bruin / Brown
6,"JDsz5(460)
3.9July 1, 2021
Aroma 8. Appearance 4. Taste 7. Palate 4. Overall 16. Caramelised malt and spices aroma. Toffee, malt, yeast, and dark fruits taste.
BOTTLE
Aroma
8
Appearance
4
Flavor
7
Mouthfeel
4
Overall
16",Leffe Brune,Leffe Brune / Bruin / Brown
7,"esen1a(738)
🇵🇱Legionowo, Poland
3.5May 13, 2021
Piana beżowa, drobno pęcherzykowata, długo utrzymująca się. Barwa brązowa, klarowna. W aromacie toffe, kokos. W smaku chleb razowy, lekka goryczka, karmel. Wysycenie…
Show more
BOTTLE
Aroma
6
Appearance
3
Flavor
7
Mouthfeel
3
Overall
16",Leffe Brune,Leffe Brune / Bruin / Brown
8,"biir(3,008)
🇩🇪Hamburg, Germany
3.2May 12, 2021
Bottle from Edeka Hamburg - clear nut brown color, beige head. Taste is toffee, nuts, dark malts, sugar. Definitely a round dark Belgian ale, little more than this, though. A bit…
Show more
BOTTLE
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
3
Overall
12",Leffe Brune,Leffe Brune / Bruin / Brown
9,"iains1(577)
2.8May 8, 2021
Caramelised banana flavours with some toffee apple. Some malts. Lacking in depth and a little saccharine for my taste.
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Leffe Brune,Leffe Brune / Bruin / Brown
