,맥주정보,검색이름,맥주이름
0,"melush(10,469)
🇪🇸Spain
3.0September 6, 2021
33cl Bottle @ Erasmus Bruin Cafe, Salamanca.
Golden colour with a thin white head.…
Show more
BOTTLE
@ Erasmus Bruin Cafe
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
12",Hop House 13 Lager,Hop House 13 Lager
1,"pootzboy(2,075)
🇨🇦Canada
3.2September 6, 2021
Can -pours a clear amber-gold with a 2 finger puffy white cap that lasts....demure aromas of malts and dried grass, some earthiness...has a bright lager character with a sharp mouth…
Show more
CAN
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
14",Hop House 13 Lager,Hop House 13 Lager
2,"Alusmamuts(3,508)
🇱🇻Latvia
3.4September 4, 2021
Amber clear with medium creamy white head. Slightly sweet malty aroma. Dry bitter taste with some sourness,  some roasty notes.
BOTTLE
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
3
Overall
13",Hop House 13 Lager,Hop House 13 Lager
3,"MeadTun52(5)
🇵🇹Portugal
3.2August 31, 2021
Cor âmbar com reflexos dourados, mais densa, espuma branca de média persistência. Aromas frutados, laranja, tangerina e fruta amarela de caroço como pessego, alperce…
Show more
BOTTLE
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
14",Hop House 13 Lager,Hop House 13 Lager
4,"DoctorHU(1,735)
🇺🇦Transcarpathia, Ukraine
2.9August 26, 2021
440 ml can. Pours clear golden color with white head. Aroma of hops, with notes of yeast and mild grassy hints.The taste is bitter, hoppy with herbal notes and sweetish notes of…
Show more
CAN
Aroma
5
Appearance
3
Flavor
6
Mouthfeel
3
Overall
12",Hop House 13 Lager,Hop House 13 Lager
5,"DraftPours23(2,504)
🇫🇷France
3.2August 24, 2021
Robe or sombre limpide, mousse moyenne, mais disparaît assez vite, reste un résidu sur le bord du verre, belle carbo irrégulière. Nez houblonné, herbacé, avec un léger côté…
Show more
BOTTLE
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
14",Hop House 13 Lager,Hop House 13 Lager
6,"vladeath(2,463)
🇷🇺Russia
3.0August 7, 2021
Amber color. Excellent foam. Nose. Hop, herbaceous fruity light malt. Taste. Sweetish. Clean, lager character. Malt, biscuit, fruity notes, and a herbal hop aftertaste. A very…
Show more
CAN
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
12",Hop House 13 Lager,Hop House 13 Lager
7,"SinH4(13,117)
🇩🇪Garching bei München, Germany
3.2August 7, 2021
Tap. Clear golden color with white head. Aroma is fruity hops, mild grains, not too intense. Taste is the same. Oily mouthfeel with medium carbonation. Alright.
TAP
Aroma
7
Appearance
3
Flavor
6
Mouthfeel
3
Overall
13",Hop House 13 Lager,Hop House 13 Lager
8,"Fules(1,872)
🇭🇺Gyöngyös, Hungary
3.1August 2, 2021
Nagy, hófehér, tartós hab, borostyán szín. Lágeres, visszafogott, de határozott illat. Intenzív virágos, barackos, kissé citrusos izvilág, az ipari lágerekre jellemző olajos és…
Show more
CAN
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
3
Overall
12",Hop House 13 Lager,Hop House 13 Lager
9,"pleispleis(1,074)
🇮🇹Maccagno, Italy
3.1July 5, 2021
bottiglia 33 cl, schiuma bianco sporco fine media persistenza, colore oro limpido, al naso malto cereali agrumi luppoli, in bocca è fruttata malto pane e agrumi, corpo…
Show more
BOTTLE
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
4
Overall
12",Hop House 13 Lager,Hop House 13 Lager
