,맥주정보,검색이름,맥주이름
0,"italianjohn(4,595)
🇺🇸Penndel, United States
2.8September 6, 2021
Clear golden blonde pour with a thin white head and spots of lacing …. Aroma of sweet malts, caramel malt, some light floral notes, grape  and a little bit of lemon … taste is of the…
Show more
BOTTLE
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
12",Kloud Original Gravity,Kloud Original Gravity
1,"orda(232)
🇺🇸Aurora, United States
3.9August 29, 2021
Appearance: golden amber; slight head
Taste: decent light & malty
8/28/21 - 92 Town Korean Bbq (Schaumburg, IL); 22oz…
Show more
Aroma
10
Appearance
5
Flavor
10
Mouthfeel
5
Overall
9",Kloud Original Gravity,Kloud Original Gravity
2,"Radek Kliber(7,978)
🇨🇦Toronto (Can) Krotoszyn (Pol), Canada
2.4June 5, 2021
Bottle 330 ml 

Aroma: nice, fresh, on dry side. You can feel macro vibe bit…
Show more
BOTTLE
Aroma
6
Appearance
3
Flavor
4
Mouthfeel
2
Overall
9",Kloud Original Gravity,Kloud Original Gravity
3,"geologyguy(2,358)
🇺🇸Columbia, United States
2.3May 26, 2021
Smell is light of malt...taste is a that malt that kinda tastes like light apple..
Thick mouthfeel, all malt with decent flavor, but one…
Show more
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
3
Overall
9",Kloud Original Gravity,Kloud Original Gravity
4,"Wolff90(167)
🇸🇪Upplands Väsby, Sweden
1.0February 16, 2021
Rating copied from Untappd. Had while flying Asiana First Class from Seoul to Frankfurt on 8 dec 2018
CAN
Aroma
1
Appearance
1
Flavor
1
Mouthfeel
1
Overall
6",Kloud Original Gravity,Kloud Original Gravity
5,"patjenner(3)
4.0December 31, 2020
Strong hoppy flavor. Bavarian style. Ok but not fantastic. Needs to be super cold.…
Show more
Aroma
9
Appearance
5
Flavor
7
Mouthfeel
4
Overall
15",Kloud Original Gravity,Kloud Original Gravity
6,"pictoman(2,760)
🇨🇦Vancouver, Canada
2.0April 22, 2020
Poured from 330mL bottle. Clear gold with white head. Light grain with a mild sweetness. Inoffensive lager.
Aroma
3
Appearance
3
Flavor
4
Mouthfeel
3
Overall
7",Kloud Original Gravity,Kloud Original Gravity
7,"snoworsummer(8,988)
🇺🇸baltimore, United States
3.0March 7, 2020
Bottle. Tastes like dough, corn, grass, smooth and mild. Light body and low/medium carbonation. Smells like dough, grass, corn, and faint toffee.
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
12",Kloud Original Gravity,Kloud Original Gravity
8,"mickmac(737)
🇦🇺Ngunnawal, Australia
2.9February 20, 2020
Pours with a brilliant clear gold body and a moderate sized white head. Aroma-taste of grain and bread crust with a faint herbal background and a clean finish. Light-medium bodied…
Show more
CAN
Aroma
5
Appearance
4
Flavor
4
Mouthfeel
4
Overall
12",Kloud Original Gravity,Kloud Original Gravity
9,"GuideDogSaint(2,665)
🇨🇳Xiamen, China
2.2February 8, 2020
Small can from a supermarket in Phnom Penh. Pours golden yellow with a dissipating white head. Aroma of malt. Hint of lemon in the sweet taste. Sweet finish.
Aroma
4
Appearance
2
Flavor
5
Mouthfeel
2
Overall
9",Kloud Original Gravity,Kloud Original Gravity
