,맥주정보,검색이름,맥주이름
0,"Jabah(2,434)
🇺🇸Fairfax, United States
2.9January 23, 2020
Interesting that they brand this as Stout, when it is actually a lager and only 5%.  It's neither a Stout or strong so a little misleading.   Actually is a black lager, but has some malt…
Show more
BOTTLE
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
11",Hite Black Beer Stout,Hite Black Beer Stout
1,"solidfunk(15,580)
🇺🇸Washington D.C., United States
3.3January 15, 2020
Roast, pretty nice drinking. Pretty dry. Some raw barley. Black pour with ok head. Bitter finish. Decent stuff for style, surprisingly. Can at 7-11 in Hong Kong.
CAN
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
3
Overall
13",Hite Black Beer Stout,Hite Black Beer Stout
2,"mephisto(1,330)
🇹🇼Taiwan
1.3January 13, 2020
great taste and less filling type of lager.  canned in hong kong airport, contains alc.
Aroma
2
Appearance
1
Flavor
3
Mouthfeel
2
Overall
5",Hite Black Beer Stout,Hite Black Beer Stout
3,"ChewyBeer(563)
🇦🇺Australia
3.0September 15, 2019
Appearance: dark, tan head that falls away
Aroma: light aroma of roast malts
Palate: medium light mouthfeel, medium high…
Show more
Aroma
6
Appearance
4
Flavor
6
Mouthfeel
3
Overall
11",Hite Black Beer Stout,Hite Black Beer Stout
4,"beer-yum(3,516)
🇳🇿Wellington, New Zealand
2.8April 20, 2019
Restrained aroma in a coke coloured pour.  Light malty body makes an interesting change from the mass market lager - but is nothing more and/or no improvement.
CAN
Aroma
8
Appearance
4
Flavor
7
Mouthfeel
3
Overall
6",Hite Black Beer Stout,Hite Black Beer Stout
5,"kiwianer(4,070)
🇳🇿Otorohanga, New Zealand
2.7February 12, 2019
The foamstability is low, body black. Aroma is darkmalty, roasty, a bit burned. The taste is a bit burned, some sweetness, darkmalty, soft. Ok, a bit weird and unbalanced…
Show more
CAN
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
11",Hite Black Beer Stout,Hite Black Beer Stout
6,"koorchuck(3,029)
🇵🇱Nacpolsk, Poland
1.8December 22, 2018
Ocena wystawiona na podstawie wspomnień z degustacji w ramach uzupełnienia profilu.
BOTTLE
Aroma
3
Appearance
3
Flavor
3
Mouthfeel
2
Overall
7",Hite Black Beer Stout,Hite Black Beer Stout
7,"wilnatp(840)
🇺🇸United States
3.4August 22, 2018
Can at HK airport. Aroma of faint roast, and dark malt. Taste is slightly sweet.
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
3
Overall
14",Hite Black Beer Stout,Hite Black Beer Stout
8,"Cimbasso(1,803)
🇬🇧London, England
2.2July 30, 2018
Sampled from a can at one of the lounges at Hong Kong Airport. Dark brown, near black, with a tan head. Sweet lager-like taste with mild notes of chocolate. Some roasted…
Show more
Aroma
3
Appearance
4
Flavor
5
Mouthfeel
2
Overall
8",Hite Black Beer Stout,Hite Black Beer Stout
9,"mile(4,762)
🇫🇮Helsinki, Finland
1.9March 31, 2018
Can. Dark brown, small to average and mostly diminishing light brown head. Moderate, malty and caramel sweetish aroma, light bread and burnt malt and faint licorice. Body is…
Show more
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
6",Hite Black Beer Stout,Hite Black Beer Stout
10,"Skarecrow(1,734)
🇳🇿North Shore, Auckland, New Zealand
3.0December 17, 2017
330ml bottle
Dark brown/black pour with OK tan head.…
Show more
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
2
Overall
13",Hite Black Beer Stout,Hite Black Beer Stout
11,"yy0pp(1,664)
2.0November 18, 2017
Bottle. Dark brown color with tan head. Aroma - Earthy, choc, bread. Taste - Sweet, bread, licorice, malt.
Aroma
3
Appearance
3
Flavor
4
Mouthfeel
2
Overall
8",Hite Black Beer Stout,Hite Black Beer Stout
12,"Lubiere(19,204)
🇨🇦Ottawa, Canada
3.0November 11, 2017
A dark brown Schwartz bier with a thin brown head. In aroma, light chocolate malt with light caramel notes, light mineral notes, OK. In mouth, sweet nutty chocolate malt with light…
Show more
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
12",Hite Black Beer Stout,Hite Black Beer Stout
13,"Lisowczyk(323)
🇵🇱Poland
2.9September 4, 2017
Piwo 5 dni przed końcem daty, mocno utlenione. W zapachu marmolada śliwkowa i lekki grafit, do tego nieco słodu i karmelu. W smaku dominuje karmel, nieco kakao, słody,…
Show more
Aroma
6
Appearance
3
Flavor
5
Mouthfeel
3
Overall
12",Hite Black Beer Stout,Hite Black Beer Stout
