,맥주정보,검색이름,맥주이름
0,"17wojownik(1,407)
🇵🇱Krakow, Poland
4.1August 31, 2021
Na krakowskim Beerweek Festival 06, w 2021 roku, 100 ml przelane z butelki dwoma kielonkami. Hm no potężny stout, pity już na dość zrobieniu. Bardzo mocny, słodki ale nie lepk…
Show more
BOTTLE
Aroma
8
Appearance
4
Flavor
8
Mouthfeel
4
Overall
17",Goose Island Bourbon County Stout,Goose Island Bourbon County Stout
1,"wojanex(2,956)
🇵🇱warszawa, Poland
4.2July 3, 2021
Szanuję legendę, w swojej kategorii trunek wzorowy, rozgrzewający, przyjemnie bourbonowy, ale ja już nie mogie takich mocnych. Tylko na setki daję radę.
Aroma
9
Appearance
5
Flavor
8
Mouthfeel
5
Overall
15",Goose Island Bourbon County Stout,Goose Island Bourbon County Stout
2,"batmansthlm(1)
4.5June 10, 2021
Mjuk, mörk sirap hint av kaffe. Lagrad i källare sen 2012. Ingen hint av den höga avb n förutom i huvudet 😉
BOTTLE
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Goose Island Bourbon County Stout,Goose Island Bourbon County Stout
3,"TomHendriksen(4,646)
🇳🇱Netherlands
4.1May 15, 2021
Fles gedeeld door Keukeman geprobeerd met Benzai
 Het is een diep donkerbruin tot zwart bier met een bruinig schuim. Het heeft een bourbon achtige geur. De smaak is…
Show more
BOTTLE
Aroma
8
Appearance
4
Flavor
8
Mouthfeel
4
Overall
17",Goose Island Bourbon County Stout,Goose Island Bourbon County Stout
4,"Oscbert(1,636)
🇺🇸Lincoln, United States
4.7April 25, 2021
Strong malty boozy aroma of cocoa, prune, raisin, vanilla, wood, bourbon, and caramel
Pours pitch black with small creamy head, looks thick.…
Show more
Aroma
10
Appearance
4
Flavor
9
Mouthfeel
5
Overall
19",Goose Island Bourbon County Stout,Goose Island Bourbon County Stout
5,"Barrelmaniac(33)
🇳🇱De Weere, Netherlands
1.0March 26, 2021
Wat valt hier nog over te zeggen, dat het een fantastisch bier is, dat is het niet, het is qualitatief wel oké ,  maar veel te veel drop en leer, en is zwaar overgehyped, net als bij…
Show more
BOTTLE
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Goose Island Bourbon County Stout,Goose Island Bourbon County Stout
6,"neongolden(3,779)
🇨🇦Quebec City, Canada
4.2March 2, 2021
(2018 bottle shared @ Erik's tasting, Stockholm, July 13/19) Pours pitch black with a small pale brown head. Notes of deep caramel and and toffee malts soaked in chocolate…
Show more
Aroma
8
Appearance
4
Flavor
8
Mouthfeel
4
Overall
18",Goose Island Bourbon County Stout,Goose Island Bourbon County Stout
7,"gbroncos(8)
🇺🇸United States
4.0February 7, 2021
Good color, smell, and taste. It is thick and feels like you can almost chew it. Not easy to locate but after trying in I can see why it goes quick when you can find it.
BOTTLE
@ Total Wine & More - Paddock Shops
Aroma
8
Appearance
4
Flavor
8
Mouthfeel
4
Overall
16",Goose Island Bourbon County Stout,Goose Island Bourbon County Stout
8,"loscovar(1,400)
Principality of SEALAND
3.7January 31, 2021
2020 millésime, paid 20 euros for it on saveurbiere.com.
Nice imperial stout, lovely Bourbon aromas, chocolate and coffee, but widely overrated and expensive. Should cost 7…
Show more
@ Saveur-Biere.com
Aroma
7
Appearance
4
Flavor
8
Mouthfeel
4
Overall
14",Goose Island Bourbon County Stout,Goose Island Bourbon County Stout
9,"czgr(1,445)
🇵🇱Opole, Poland
4.9January 25, 2021
To jest moja subiektywna ocena, która nie musi pokrywać się z Twoją oceną. https://www.instagram.com/czgr_
BOTTLE
Aroma
10
Appearance
5
Flavor
10
Mouthfeel
5
Overall
19",Goose Island Bourbon County Stout,Goose Island Bourbon County Stout
