,맥주정보,검색이름,맥주이름
0,"Erzengel(13,534)
🇩🇪Saarland & Düsseldorf, Germany
2.3April 25, 2017
Can in Busan. Artificial Mango nose - Like Fanta Mango. Smooth sweetish beginning. A bit watery, not too deep in flavour, not too sweetish. Sessionable, mild but in total too…
Show more
Aroma
5
Appearance
4
Flavor
4
Mouthfeel
4
Overall
6",Mango Lingo,Hite Mango Lingo
1,"GoufCustom(3,017)
🇭🇰Hong Kong
1.9September 14, 2016
355 ml can bought at Wellcome Superstore in Sheung Shui.…
Show more
Aroma
4
Appearance
3
Flavor
4
Mouthfeel
2
Overall
6",Mango Lingo,Hite Mango Lingo
2,"conquerex(14)
🇰🇷South Korea
3.0August 26, 2016
맥주보다 칵테일에 가깝다. 그것이 의도이기 때문에 잘 만들었다고 본다. 여름 바캉스를 갔을 때, 술을 잘 마시지는 못하지만 분위기를 맞추며 술 한잔하고 싶은 분들에게 정말 좋을 것이…
Show more
Aroma
6
Appearance
3
Flavor
6
Mouthfeel
3
Overall
12",Mango Lingo,Hite Mango Lingo
