,맥주정보,검색이름,맥주이름
0,"DocuDrinks(1,467)
🇱🇻Riga, Latvia
3.4September 19, 2021
Smell-weak malt, weak roast.
Foam- thin, malty, weak roast, faint caramel and more malt. Head is medium-sized, white-brown-orange color. Sticks a…
Show more
BOTTLE
@ Boozie Dzerienu Veikals
Aroma
5
Appearance
4
Flavor
7
Mouthfeel
4
Overall
14",Paulaner Salvator,Paulaner Salvator
1,"wilde_joost59(1,258)
🇳🇱Amsterdam, Netherlands
3.8September 19, 2021
Thuis uit een halve liter fles. Donkere amber kleur, weinig schuim. Caramel in het aroma. Smaak licht zoet, redelijk vol.
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
3
Overall
18",Paulaner Salvator,Paulaner Salvator
2,"Cervatanas(12)
🇨🇴Barranquilla, Colombia
4.6September 18, 2021
En apariencia nos encontramos con un color ámbar oscuro pero brillante (es de baja fermentación) tiene una corona de espuma beige de suave textura y persistente.…
Show more
BOTTLE
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Paulaner Salvator,Paulaner Salvator
3,"felipeguzfa(45)
🇨🇴Bogota, Colombia
3.9September 5, 2021
Color cobre, no es turbia, espuma gruesa media y de media duración. Olor a caramelo, ciruela. Sabor a caramelo, ciruela, es dulce, es carbonatada. No es aguada. Es bien rica. Se m…
Show more
BOTTLE
Aroma
8
Appearance
4
Flavor
7
Mouthfeel
4
Overall
16",Paulaner Salvator,Paulaner Salvator
4,"Grima(2,612)
🇩🇪Merzkirchen, RLP, Germany
3.9August 17, 2021
Bottle from REWE Saarburg, RLP, Germany
Pours: dark nut brown, hazy, with a beautiful creamy, light brown head…
Show more
BOTTLE
Aroma
7
Appearance
4
Flavor
8
Mouthfeel
3
Overall
17",Paulaner Salvator,Paulaner Salvator
5,"Musicoholic(329)
🇵🇱Szczecin, Poland
3.6August 13, 2021
Barwa ciemnobursztynowa, spora piana, kremowa. W aromacie ciemne słody, skórka chlebowa, lekkie rodzynki. W smaku przyjemnie, dobre suszone owoce i dochodzi fajny…
Show more
BOTTLE
Aroma
6
Appearance
4
Flavor
7
Mouthfeel
4
Overall
15",Paulaner Salvator,Paulaner Salvator
6,"atpsynthase(116)
🇸🇬Singapore
3.7August 9, 2021
The original Doppelbock supposedly. 500 ml bottle from the local German supermarket. Pours a nice reddish amber with little head. Aroma of roasted malt, lots of plum, raisin,…
Show more
BOTTLE
Aroma
7
Appearance
3
Flavor
8
Mouthfeel
4
Overall
15",Paulaner Salvator,Paulaner Salvator
7,"dcalahan(2)
🇺🇸Severance, CO, United States
4.3August 6, 2021
Terrific! Sweet, rich, malty beer with toasty and caramel rich flavors. It makes me think of rich bready malt. There’s a sweet, nutty pecan character that lingers. Medium…
Show more
BOTTLE
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Paulaner Salvator,Paulaner Salvator
8,"DraftPupil66(326)
3.9July 16, 2021
0,5l bottle from local store in München, drinking it on 16/07/2021 BB 04.2022 Pours a slightly hazy light brown body with a medium beige head on top. Aroma of dark malt,…
Show more
BOTTLE
Aroma
7
Appearance
3
Flavor
8
Mouthfeel
4
Overall
17",Paulaner Salvator,Paulaner Salvator
9,"flelau(219)
🇩🇰Kastrup, Denmark
3.4July 14, 2021
Lidt mørk med lidt groft skum. Duft af brød og  muld. Let bitterhed der bliver hængende som et behageligt minde. Let sød og god fylde.
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Paulaner Salvator,Paulaner Salvator
10,"Ollemies(96)
3.5June 13, 2021
Very nice strong beer. A bit bitter maybe, but adds to the mouthfeel. I very much like it.
BOTTLE
Aroma
6
Appearance
4
Flavor
7
Mouthfeel
4
Overall
14",Paulaner Salvator,Paulaner Salvator
11,"QuentinM(889)
🇫🇷Évron, France
3.5May 8, 2021
Bouteille de 50 cl achetée chez V&B. Robe brune claire et limpide avec légère mousse brune. Arômes de caramel, miel, banane, malts grillés. Texture crémeuse, carbonatation…
Show more
BOTTLE
@ V and B Évron
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
3
Overall
15",Paulaner Salvator,Paulaner Salvator
12,"czgr(1,445)
🇵🇱Opole, Poland
3.5April 25, 2021
Ocena wystawiona na podstawie wspomnień. Degustacja odbyła się jakiś czas temu.
Instagram/czgr_
BOTTLE
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Paulaner Salvator,Paulaner Salvator
13,"Jerseyislandbeer(3,349)
🇯🇪Jersey
3.7April 25, 2021
Old rating from 2010 - 500ml bottle, pours red/ brown with a small white head. Aromas & tastes of dried berries, chocolate, caramel, honey, spice, nuts & roasted malt.…
Show more
BOTTLE
Aroma
7
Appearance
3
Flavor
8
Mouthfeel
4
Overall
15",Paulaner Salvator,Paulaner Salvator
14,"earlofale(404)
🇩🇪Darmstadt, Germany
3.7April 14, 2021
Bottle. Clear hazelnut brown color, fine white head. Caramel, honey, spice dried berry aroma. Sweet, medium to low bitter taste. More honey, heavy caramel, with a light roasted note…
Show more
BOTTLE
@ Maruhn
Aroma
6
Appearance
5
Flavor
7
Mouthfeel
5
Overall
14",Paulaner Salvator,Paulaner Salvator
15,"rublov(201)
🇵🇱Cracow, Poland
3.8April 10, 2021
Wysoka, drobna piana, jasno beżowa, piwo miedziane, wpadające pod światło w złoto, trwała piana, bez wyraźnej koronki, apetycznie się prezentuje.…
Show more
BOTTLE
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
5
Overall
15",Paulaner Salvator,Paulaner Salvator
16,"didierlewallon(352)
🇪🇸ponferrada, Spain
3.6April 8, 2021
Cerveza de color castaña con una espuma de color caramelo.…
Show more
BOTTLE
Aroma
6
Appearance
4
Flavor
7
Mouthfeel
4
Overall
15",Paulaner Salvator,Paulaner Salvator
17,"nkdubbs87(10)
4.0March 22, 2021
Super malty and a little boozy. It wasn’t exactly what I was in the mood for today, but there are days where this is exactly what I want
BOTTLE
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Paulaner Salvator,Paulaner Salvator
18,"AntoCifa(22)
🇮🇹Pub, Italy
3.5March 21, 2021
Non avevo tante aspettative, e sono rimasto piacevolmente colpito. Colore ambrato limpido con una bella schiuma. Aroma intenso e piacevole. È una bella birra.
BOTTLE
Aroma
8
Appearance
4
Flavor
6
Mouthfeel
3
Overall
14",Paulaner Salvator,Paulaner Salvator
