,맥주정보,검색이름,맥주이름
0,"djoeye(11,748)
🇳🇴Tromsø, Norway
3.0May 13, 2021
Aroma; scents from black caramel, roasted malts, grass, some syrup. Look; fawn head, on coffee black body. Taste; flavours from floury black caramel, roasted malts, figs, date…
Show more
CAN
Aroma
6
Appearance
3
Flavor
7
Mouthfeel
3
Overall
11",Guinness Black Lager,Guinness Black Lager
1,"Learninbeer(929)
🇺🇸Sterling Heights, United States
2.6February 5, 2021
The aroma is malts, bread and a little fig/date. Pours almost black with big foamy tan head, mostly diminishing and excellent lacing. The taste is blah a tad bitter. The body is…
Show more
BOTTLE
Aroma
5
Appearance
4
Flavor
4
Mouthfeel
2
Overall
11",Guinness Black Lager,Guinness Black Lager
2,"Mc_Doc(182)
🇮🇪Ireland
3.3October 21, 2020
Темный Лагер от всемирно известной Ирландской компании. Марка говорит сама за себя, но вот Темный (Черный) Лагер - это что то новое. Впервые (по моим…
Show more
BOTTLE
Aroma
7
Appearance
3
Flavor
6
Mouthfeel
3
Overall
14",Guinness Black Lager,Guinness Black Lager
3,"Jabah(2,434)
🇺🇸Fairfax, United States
3.3March 6, 2019
A lighter/thinner version of the old skool Guinness Extra Stout.  More like a regular black lager versus a traditional Schwarz, which may have a bit more caramel and…
Show more
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
3
Overall
13
1",Guinness Black Lager,Guinness Black Lager
4,"joe19612(4,331)
🇬🇧CAMBERLEY, England
2.7August 26, 2018
Bottle.  Pours a black colour with a tight beige head,  the aroma is roasted malt with a hint of bread,  the taste is medium bitterness and with a watery bitter finish.
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
3
Overall
11",Guinness Black Lager,Guinness Black Lager
5,"phildo79(50)
🇬🇧Belfast, Northern Ireland
0.8June 3, 2018
Jesus, remember this shite! Was out about a decade or so ago. Probably not long on the heels of Breo. Think it was basically just Harp but with a little black patent malt thrown…
Show more
Aroma
1
Appearance
1
Flavor
2
Mouthfeel
1
Overall
3
1",Guinness Black Lager,Guinness Black Lager
6,"slyde(11)
🇺🇸United States
1.7August 23, 2017
I have friends who LOVE this beer, and I have tried several times to drink it but just don’t see what all the fuss is about. I have yet to be able to finish a full glass. By the time I get…
Show more
Aroma
8
Appearance
5
Flavor
2
Mouthfeel
1
Overall
1",Guinness Black Lager,Guinness Black Lager
7,"Aggiebob(3,287)
🇺🇸Huntsville, United States
2.9July 22, 2017
Bottle. It poured black with an off-white head that quickly dissipated. Roasted malt aroma with notes of lightly scorched coffee. The mouthfeel is watery/thin. Ok lager, but…
Show more
Aroma
5
Appearance
4
Flavor
4
Mouthfeel
3
Overall
13",Guinness Black Lager,Guinness Black Lager
8,"AleRider78(2,614)
🇨🇦Winchester, Canada
3.5March 26, 2017
Pours an average size frothy head and has a very dark brown colour. Aromas of light roasted malts, earthy and herbal type hops. Flavours are all fairly mild composed of coffee, light…
Show more
Aroma
7
Appearance
3
Flavor
7
Mouthfeel
4
Overall
14",Guinness Black Lager,Guinness Black Lager
9,"PugUglyBrewer(1,038)
3.4March 18, 2017
A black lager is a summertime delight for a big stout fan like myself. This is light and smooth with that signature Guinness yeast. Thin, smashable body with a light roast flavor.…
Show more
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
3
Overall
13",Guinness Black Lager,Guinness Black Lager
