,맥주정보,검색이름,맥주이름
0,"PubRespek15(395)
🇳🇴Moelv, Norway
2.1April 7, 2020
Had a couple of these Buds with some dinner at Outback. Easy drinking lager, goes nice with a good meal.
BOTTLE
Aroma
3
Appearance
2
Flavor
5
Mouthfeel
2
Overall
9",Budweiser Select,Budweiser Select
1,"WortTun34(0)
5.0July 30, 2019
Love this beer. Been drinking it since it was in skinny cans. Great calorie to alcohol ratio. Its my goldilocks. Budweiser boats me and bud light is well bud light. Select is just right
CAN
Aroma
10
Appearance
5
Flavor
10
Mouthfeel
5
Overall
20",Budweiser Select,Budweiser Select
2,"LocalAromas22(9)
4.3July 6, 2019
This is Budweiser's answer to Coors Light an Miller Lite.  One can't go wrong with it if they're in the mood for a light beer.  It has a crown on the bottle cap because it's in the King of…
Show more
BOTTLE
Aroma
8
Appearance
4
Flavor
9
Mouthfeel
4
Overall
18",Budweiser Select,Budweiser Select
3,"dga(1)
4.0February 23, 2019
Great way to reduce carbs in a beer. Its rated low because I believe most are comparing it to a full bodied craft beer or even any beer with higher carbs which substantially add to…
Show more
CAN
Aroma
7
Appearance
4
Flavor
9
Mouthfeel
4
Overall
16",Budweiser Select,Budweiser Select
4,"KegPupil26(1)
4.8September 28, 2018
Bud Select needs More advertisement on Television. I drank Bud Light all my adult life. Once I tasted Bud Select. Bye Bud Light. I have only two (2) stores in my area. One in different…
Show more
Aroma
8
Appearance
5
Flavor
10
Mouthfeel
5
Overall
20",Budweiser Select,Budweiser Select
5,"fernn2d2(1)
4.0August 13, 2018
I'm doing Keto diet and this is one of the best choices when you crave a beer. To be a light low carb option it's one of the highest Alcohol per volume that you're going to find with a…
Show more
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Budweiser Select,Budweiser Select
6,"DraftChief17(1)
3.9July 26, 2018
This is one of, if not the best, ""light"" beers commercially available. It actually has decent flavor. It is not a traditional heavy lager. It is the best low calorie light beer made. Select…
Show more
Aroma
7
Appearance
4
Flavor
8
Mouthfeel
4
Overall
16",Budweiser Select,Budweiser Select
7,"bubblehouse(1,916)
🇺🇸louisville, United States
1.5June 2, 2018
tasted like trash in a bottle. Budweiser has done a wonderful job of perfecting this.
Aroma
3
Appearance
2
Flavor
3
Mouthfeel
2
Overall
5",Budweiser Select,Budweiser Select
8,"superspak(9,600)
🇺🇸Doylestown, United States
3.5May 6, 2018
25 ounce can into lager glass, canned on 8/24/2017. Pours crystal clear medium golden yellow color with a 1 finger fairly dense and rocky white head with good retention, that…
Show more
Aroma
7
Appearance
4
Flavor
7
Mouthfeel
3
Overall
14",Budweiser Select,Budweiser Select
9,"nohopspleez(112)
🇺🇸United States
0.5March 19, 2018
I thought ""select"" usually indicated a better attempt?? Not so with the ""king"". this is another bad tasting, badly made, poorly created and only able to use their marketing monster…
Show more
Aroma
1
Appearance
1
Flavor
1
Mouthfeel
1
Overall
1
1",Budweiser Select,Budweiser Select
