,맥주정보,검색이름,맥주이름
0,"Obfuscate(1,242)
Minneapolis
4.0August 2, 2021
Tastes really nice for for what it is. Clean lager very refreshing after a day of fishing. The older I get the more I seem to enjoy a cold lager on a warm day.
Aroma
8
Appearance
4
Flavor
8
Mouthfeel
4
Overall
16",Singha Draft,Singha Draft
1,"Peter_L(1,707)
🇸🇪Sweden
2.5June 14, 2021
Halmgul och klar vätska med tunn skumslöja. Något sädig och lätt oren arom. Plastburkar är det första som far genom smaken. Söt och enkelspårig i utformningen.
CAN
@ Systembolaget Genetaleden (Södertälje)
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
2
Overall
10",Singha Draft,Singha Draft
2,"hayayoshi(616)
🇺🇸United States
2.5May 8, 2021
Yeast and sweet malty aroma. Really light golden and clear. Taste is honey, malty, floral, but light on flavor. Gave me a killer head ache.
Aroma
6
Appearance
3
Flavor
4
Mouthfeel
2
Overall
10",Singha Draft,Singha Draft
3,"BineChalice28(92)
1.2April 5, 2021
Oh god! What's this remind me of? Oh yes, the water that drifts down from binjo ditches after it rains and people puked in it in Kunsan. Trash!
BOTTLE
Aroma
1
Appearance
2
Flavor
1
Mouthfeel
2
Overall
6",Singha Draft,Singha Draft
4,"dunklermessias(1,659)
🇩🇪Germany
2.4March 25, 2021
Clear golden color and a white, quick dissapearing, head. Malty, grainy,   some sweetness and faint hoppy. Crisp.
Aroma
5
Appearance
2
Flavor
5
Mouthfeel
2
Overall
10",Singha Draft,Singha Draft
5,"pdog555(1,350)
🇺🇸United States
2.5November 15, 2020
Pours clear Golden with a thin white head. Aroma of acerbic grass. Taste has rich caramel malt, intensely grassy hop oils on a dry malt. Palate has lingering honey hint on the nose.…
Show more
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Singha Draft,Singha Draft
6,"weirdbeered(270)
🇬🇧London, England
3.0October 3, 2020
Clear gold colour, decent white head that swiftly shrinks. Very faint aroma, hay and lemon. Taste, malt and biscuit, sweet honey, something floral, almost no aftertaste. Ok, as…
Show more
BOTTLE
Aroma
-
Appearance
-
Flavor
-
Mouthfeel
-
Overall
-",Singha Draft,Singha Draft
7,"Malrider69(325)
🇦🇺Central Coast, Australia
3.0October 1, 2020
Pours a pale straw colour with soapy white coloured head.  Minimal aroma, but the taste is fresh and crisp as a lager should be.  Overall not a bad beer for this style.
TAP
Aroma
5
Appearance
3
Flavor
6
Mouthfeel
3
Overall
13",Singha Draft,Singha Draft
8,"a-beier(539)
🇩🇰Denmark
2.3August 7, 2020
Clear yellow, short white head. Almost no carbonation. Almost no smell and very light pilsner taste. A bit boring but refreshing when hot outside.
BOTTLE
Aroma
4
Appearance
3
Flavor
5
Mouthfeel
2
Overall
9",Singha Draft,Singha Draft
9,"olberic(575)
2.3August 7, 2020
Aroma of mild malt
Yellow clear colour with little head
Taste of very mild malt…
Show more
Aroma
4
Appearance
2
Flavor
5
Mouthfeel
3
Overall
9",Singha Draft,Singha Draft
10,"CiderTicks22(1,732)
🇵🇱Glogów, Poland
1.1March 5, 2020
Żółto blade. Jak roztwór witaminy C. O pianie nie warto pisać. 
Prawie nie pachnie. Trochę słodem.…
Show more
BOTTLE
Aroma
2
Appearance
2
Flavor
2
Mouthfeel
2
Overall
3",Singha Draft,Singha Draft
11,"dannyhill(1,624)
🇸🇰Slovakia
1.4March 3, 2020
0.33 bottle
C: clear amber
N: malt, shredded grain…
Show more
Aroma
3
Appearance
2
Flavor
2
Mouthfeel
1
Overall
6",Singha Draft,Singha Draft
12,"Grisza77(1,762)
🇵🇱Poznań, Poland
2.4February 22, 2020
Słomkowe, klarowne piwo o dość obfitej pianie, która pozostaje do końca w formie mgiełki na powierzchni. Aromat i smak nikły, słodowy. Goryczka niska. Ogólnie odczucia jak…
Show more
BOTTLE
Aroma
5
Appearance
3
Flavor
5
Mouthfeel
2
Overall
9",Singha Draft,Singha Draft
13,"borowik(1,131)
🇵🇱Bytom, Poland
2.2January 17, 2020
Pustka, trochę kwiatów, zielone jabłuszko i mokry karton. Zero wrażeń, goryczki, słodyczy no czegokolwiek. W porównaniu z tym piwem to i rodzime koncerniaki smakują…
Show more
BOTTLE
Aroma
4
Appearance
2
Flavor
4
Mouthfeel
2
Overall
10",Singha Draft,Singha Draft
14,"kamiol091(476)
🇵🇱Poland
3.1January 14, 2020
Butelka 04-11-20
Aromat: kwaśny, zielone jabłko 
Wygląd: jasnozłote, klarowne, piana ładna…
Show more
Aroma
5
Appearance
3
Flavor
6
Mouthfeel
3
Overall
14",Singha Draft,Singha Draft
15,"dr.dod(786)
🇭🇺Kecskemét, Hungary
3.7November 6, 2019
33cl bottle from Malta. It is a good lager with low co2, but long lasting medium foam. Taste is also OK. Sweet malt, some smoke, some hop and hint of citric yeast. Surprisingly…
Show more
BOTTLE
Aroma
7
Appearance
4
Flavor
8
Mouthfeel
4
Overall
14",Singha Draft,Singha Draft
